file,frame_name,video_name,emotion
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_41.jpg_0.jpg,frame_41.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_42.jpg_0.jpg,frame_42.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_43.jpg_0.jpg,frame_43.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_44.jpg_0.jpg,frame_44.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_45.jpg_0.jpg,frame_45.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_46.jpg_0.jpg,frame_46.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_48.jpg_0.jpg,frame_48.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_49.jpg_0.jpg,frame_49.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_50.jpg_0.jpg,frame_50.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_52.jpg_0.jpg,frame_52.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_54.jpg_0.jpg,frame_54.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_57.jpg_0.jpg,frame_57.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_58.jpg_0.jpg,frame_58.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_054.mp4/frame_59.jpg_0.jpg,frame_59.jpg,Surprise_054.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_2.jpg_0.jpg,frame_2.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_4.jpg_0.jpg,frame_4.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_5.jpg_0.jpg,frame_5.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_6.jpg_0.jpg,frame_6.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_7.jpg_0.jpg,frame_7.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_8.jpg_0.jpg,frame_8.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_9.jpg_0.jpg,frame_9.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_10.jpg_0.jpg,frame_10.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_11.jpg_0.jpg,frame_11.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_12.jpg_0.jpg,frame_12.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_13.jpg_0.jpg,frame_13.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_14.jpg_0.jpg,frame_14.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_15.jpg_0.jpg,frame_15.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_16.jpg_0.jpg,frame_16.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_17.jpg_0.jpg,frame_17.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_18.jpg_0.jpg,frame_18.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_19.jpg_0.jpg,frame_19.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_20.jpg_0.jpg,frame_20.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_21.jpg_0.jpg,frame_21.jpg,Surprise_022.mp4,Surprise
/media/ngxbac/Bac/dataset/KERC/faces/train/Surprise/Surprise_022.mp4/frame_22.jpg_0.jpg,frame_22.jpg,Surprise_022.mp4,Surprise
